episode,reward,max_x
806,18.8000,1090.0000
807,19.4200,1121.0000
808,19.3800,1119.0000
809,42.8800,2294.0000
810,18.5400,1077.0000
811,18.1000,1055.0000
812,18.7200,1086.0000
813,50.0000,2650.0000
814,18.5400,1077.0000
815,18.4800,1074.0000
816,18.2200,1061.0000
817,18.1800,1059.0000
818,18.4400,1072.0000
819,19.2200,1111.0000
820,18.1200,1056.0000
821,18.4400,1072.0000
822,18.3000,1065.0000
823,19.0000,1100.0000
824,18.1200,1056.0000
825,13.3400,817.0000
826,18.3800,1069.0000
827,50.2400,2662.0000
828,18.3000,1065.0000
829,18.6200,1081.0000
830,36.2200,1961.0000
831,18.7800,1089.0000
832,18.2600,1063.0000
833,20.3000,1165.0000
834,18.3000,1065.0000
835,20.2400,1162.0000
836,57.7200,2986.0000
837,18.2200,1061.0000
838,36.7800,1989.0000
839,19.2400,1112.0000
840,49.4400,2622.0000
841,46.9800,2499.0000
842,18.1200,1056.0000
843,14.7400,887.0000
844,18.1000,1055.0000
845,18.1800,1059.0000
846,18.5000,1075.0000
847,18.7800,1089.0000
848,18.1400,1057.0000
849,37.3400,2017.0000
850,19.2600,1113.0000
851,44.3600,2368.0000
852,19.4200,1121.0000
853,18.2800,1064.0000
854,18.0600,1053.0000
855,18.5000,1075.0000
856,18.2000,1060.0000
857,18.0400,1052.0000
858,36.9000,1995.0000
859,18.5600,1078.0000
860,18.1600,1058.0000
861,55.5400,2877.0000
862,18.1800,1059.0000
863,44.2800,2364.0000
864,18.1800,1059.0000
865,18.5000,1075.0000
866,22.6800,1284.0000
867,57.0000,2950.0000
868,18.5000,1075.0000
869,18.2400,1062.0000
870,18.1600,1058.0000
871,18.8200,1091.0000
872,18.4000,1070.0000
873,13.1200,806.0000
874,52.7200,2786.0000
875,18.4000,1070.0000
876,20.7600,1188.0000
877,18.2600,1063.0000
878,19.0600,1103.0000
879,55.3200,2866.0000
880,18.6000,1080.0000
881,18.3200,1066.0000
882,49.7800,2639.0000
883,18.5800,1079.0000
884,19.2400,1112.0000
885,52.0600,2753.0000
886,13.1800,809.0000
887,18.3600,1068.0000
888,18.3400,1067.0000
889,18.7200,1086.0000
890,18.4400,1072.0000
891,43.9200,2346.0000
892,20.7400,1187.0000
893,18.5800,1079.0000
894,43.5600,2328.0000
895,18.0600,1053.0000
896,59.5600,3078.0000
897,18.4400,1072.0000
898,56.9400,2947.0000
899,56.9400,2947.0000
900,49.1600,2608.0000
901,18.6400,1082.0000
902,15.0400,902.0000
903,18.5400,1077.0000
904,14.2800,864.0000
905,18.4000,1070.0000
906,18.4000,1070.0000
907,46.5200,2476.0000
908,58.8800,3044.0000
909,18.0800,1054.0000
910,56.9200,2946.0000
911,18.3000,1065.0000
912,18.2000,1060.0000
913,18.2000,1060.0000
914,18.3800,1069.0000
915,43.3400,2317.0000
916,18.0800,1054.0000
917,18.0800,1054.0000
918,18.2000,1060.0000
919,45.2000,2410.0000
920,18.1800,1059.0000
921,19.8800,1144.0000
922,43.1400,2307.0000
923,35.8600,1943.0000
924,18.2600,1063.0000
925,20.1000,1155.0000
926,18.7600,1088.0000
927,16.0800,954.0000
928,18.1200,1056.0000
929,18.3800,1069.0000
930,56.9400,2947.0000
931,18.3600,1068.0000
932,18.3400,1067.0000
933,18.2400,1062.0000
934,18.3400,1067.0000
935,15.3600,918.0000
936,20.0000,1150.0000
937,18.4200,1071.0000
938,20.6800,1184.0000
939,18.6800,1084.0000
940,13.3000,815.0000
941,43.4800,2324.0000
942,18.0800,1054.0000
943,18.2800,1064.0000
944,37.2400,2012.0000
945,18.3200,1066.0000
946,18.5600,1078.0000
947,18.5800,1079.0000
948,18.8200,1091.0000
949,18.2200,1061.0000
950,18.4600,1073.0000
951,18.7000,1085.0000
952,18.2800,1064.0000
953,36.4400,1972.0000
954,19.7600,1138.0000
955,18.1600,1058.0000
956,18.2200,1061.0000
957,18.7800,1089.0000
958,18.8600,1093.0000
959,18.8600,1093.0000
960,48.7800,2589.0000
961,19.0000,1100.0000
962,18.7600,1088.0000
963,18.2400,1062.0000
964,19.3800,1119.0000
965,18.1000,1055.0000
966,18.2600,1063.0000
967,18.4600,1073.0000
968,13.2400,812.0000
969,18.1600,1058.0000
970,18.1800,1059.0000
971,56.9200,2946.0000
972,18.2800,1064.0000
973,57.0000,2950.0000
974,48.9800,2599.0000
975,56.9400,2947.0000
976,18.4400,1072.0000
977,13.7200,836.0000
978,18.9800,1099.0000
979,18.3800,1069.0000
980,46.1600,2458.0000
981,22.1200,1256.0000
982,55.4800,2874.0000
983,18.5200,1076.0000
984,18.4200,1071.0000
985,18.8800,1094.0000
986,18.2600,1063.0000
987,18.2000,1060.0000
988,18.2800,1064.0000
989,18.1000,1055.0000
990,49.2600,2613.0000
991,19.5000,1125.0000
992,19.9200,1146.0000
993,18.1000,1055.0000
994,18.4200,1071.0000
995,19.5800,1129.0000
996,44.1200,2356.0000
997,18.2000,1060.0000
998,37.0200,2001.0000
999,58.4000,3070.0000
1000,18.9400,1097.0000
1001,18.2200,1061.0000
1002,58.6400,3082.0000
1003,18.5600,1078.0000
1004,49.3200,2616.0000
1005,19.0800,1104.0000
1006,18.7000,1085.0000
1007,56.0400,2902.0000
1008,20.1600,1158.0000
1009,56.1600,2908.0000
1010,18.3800,1069.0000
1011,18.2600,1063.0000
1012,51.5400,2727.0000
1013,18.4000,1070.0000
1014,49.3600,2618.0000
1015,13.1400,807.0000
1016,18.4600,1073.0000
1017,18.2600,1063.0000
1018,49.0400,2602.0000
1019,18.8400,1092.0000
1020,18.9000,1095.0000
1021,14.6600,883.0000
1022,19.0400,1102.0000
1023,18.6000,1080.0000
1024,18.7200,1086.0000
1025,18.5000,1075.0000
1026,58.1800,3059.0000
1027,58.5000,3075.0000
1028,49.2800,2614.0000
1029,13.3000,815.0000
1030,18.7400,1087.0000
1031,20.0000,1150.0000
1032,20.0000,1150.0000
1033,18.1200,1056.0000
1034,18.2000,1060.0000
1035,18.1600,1058.0000
1036,18.3400,1067.0000
1037,18.5400,1077.0000
1038,14.5400,877.0000
1039,18.6200,1081.0000
1040,18.4000,1070.0000
1041,13.8600,843.0000
1042,56.9400,2947.0000
1043,20.2000,1160.0000
1044,19.0200,1101.0000
1045,56.9200,2946.0000
1046,52.0600,2753.0000
1047,18.0800,1054.0000
1048,18.2600,1063.0000
1049,20.1800,1159.0000
1050,18.1200,1056.0000
1051,18.3200,1066.0000
1052,49.3000,2615.0000
1053,18.2000,1060.0000
1054,18.3200,1066.0000
1055,18.6600,1083.0000
1056,37.1800,2009.0000
1057,19.6200,1131.0000
1058,44.8200,2391.0000
1059,36.3800,1969.0000
1060,20.6000,1180.0000
1061,18.6200,1081.0000
1062,18.8600,1093.0000
1063,42.8200,2291.0000
1064,18.5400,1077.0000
1065,18.7600,1088.0000
1066,18.7000,1085.0000
1067,52.6800,2784.0000
1068,18.4400,1072.0000
1069,36.4200,1971.0000
1070,36.4600,1973.0000
1071,19.4800,1124.0000
1072,48.6000,2580.0000
